"catalog","well","plate","letter","number","replicate","date","thermocycler","flag","notes","LCO_CFMRb","LCO_HCO","fwhF2_fwhR2","AJHFwd1_dR","fwhF2_HCO"
"CASENT9131273","C10","P5","C","10","P5_pcr.v1",23-08-10,"?","n","",NA,"n",NA,NA,NA
"CASENT9131354","D10","P5","D","10","P5_pcr.v1",23-08-10,"?","n","",NA,"n",NA,NA,NA
"CASENT9131384","E10","P5","E","10","P5_pcr.v1",23-08-10,"?","n","",NA,"n",NA,NA,NA
"CASENT9131364","F10","P5","F","10","P5_pcr.v1",23-08-10,"?","n","",NA,"n",NA,NA,NA
"CASENT9130958","G10","P5","G","10","P5_pcr.v1",23-08-10,"?","n","",NA,"n",NA,NA,NA
"CASENT9130544","H10","P5","H","10","P5_pcr.v1",23-08-10,"?","n","",NA,"n",NA,NA,NA
"CASENT9130984","A11","P5","A","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130990","B11","P5","B","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130865","C11","P5","C","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130831","D11","P5","D","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9131128","E11","P5","E","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130696","F11","P5","F","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130909","G11","P5","G","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130513","H11","P5","H","11","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9131104","A12","P5","A","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9131361","B12","P5","B","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130569","C12","P5","C","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9131394","D12","P5","D","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130804","E12","P5","E","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130799","F12","P5","F","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9130965","G12","P5","G","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9131400","H12","P5","H","12","P5_pcr.v1",23-08-10,"?","y","no lysate",NA,"n",NA,NA,NA
"CASENT9131137","A1","P5","A","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
