"catalog","well","plate","letter","number","replicate","date","thermocycler","flag","notes","LCO_CFMRb","LCO_HCO","fwhF2_fwhR2","AJHFwd1_dR","fwhF2_HCO"
"","E12","P29","E","12","P29_pcr.v2",2023-11-13,"#5","","","n","n","n",NA,"n"
"","F12","P29","F","12","P29_pcr.v2",2023-11-13,"#5","","","n","n","n",NA,"n"
"","G12","P29","G","12","P29_pcr.v2",2023-11-13,"#5","","","n","n","n",NA,"n"
"","H12","P29","H","12","P29_pcr.v2",2023-11-13,"#5","","","n","n","n",NA,"n"
"","A1","P29","A","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","B1","P29","B","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","C1","P29","C","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","D1","P29","D","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E1","P29","E","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","F1","P29","F","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","G1","P29","G","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131710","H1","P29","H","1","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","A2","P29","A","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","B2","P29","B","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","C2","P29","C","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131711","D2","P29","D","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131920","E2","P29","E","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131707","F2","P29","F","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","G2","P29","G","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","H2","P29","H","2","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131702","A3","P29","A","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131706","B3","P29","B","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131466","C3","P29","C","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131796","D3","P29","D","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132347","E3","P29","E","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131607","F3","P29","F","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132522","G3","P29","G","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131821","H3","P29","H","3","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131859","A4","P29","A","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131721","B4","P29","B","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132858","C4","P29","C","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131453","D4","P29","D","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E4","P29","E","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131704","F4","P29","F","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131569","G4","P29","G","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132509","H4","P29","H","4","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131606","A5","P29","A","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131618","B5","P29","B","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131618","C5","P29","C","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131577","D5","P29","D","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131712","E5","P29","E","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132271","F5","P29","F","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131802","G5","P29","G","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132821","H5","P29","H","5","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131523","A6","P29","A","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132696","B6","P29","B","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132741","C6","P29","C","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","D6","P29","D","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E6","P29","E","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","F6","P29","F","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132607","G6","P29","G","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132804","H6","P29","H","6","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132175","A7","P29","A","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131524","B7","P29","B","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","C7","P29","C","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","D7","P29","D","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E7","P29","E","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132665","F7","P29","F","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132634","G7","P29","G","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131658","H7","P29","H","7","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","A8","P29","A","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","B8","P29","B","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","C8","P29","C","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","D8","P29","D","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E8","P29","E","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131596","F8","P29","F","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131881","G8","P29","G","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9132949","H8","P29","H","8","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131708","A9","P29","A","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131874","B9","P29","B","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131877","C9","P29","C","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","D9","P29","D","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E9","P29","E","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","F9","P29","F","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","G9","P29","G","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131899","H9","P29","H","9","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131713","A10","P29","A","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","B10","P29","B","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131564","C10","P29","C","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131447","D10","P29","D","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131705","E10","P29","E","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131610","F10","P29","F","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131451","G10","P29","G","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","H10","P29","H","10","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","A11","P29","A","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","B11","P29","B","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","C11","P29","C","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131882","D11","P29","D","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131876","E11","P29","E","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131801","F11","P29","F","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","G11","P29","G","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","H11","P29","H","11","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","A12","P29","A","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","B12","P29","B","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","C12","P29","C","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","D12","P29","D","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","E12","P29","E","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","F12","P29","F","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","G12","P29","G","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"","H12","P29","H","12","P29_pcr.v2",2023-11-13,"#4","","",NA,NA,"n",NA,"n"
"CASENT9131607","F3","P29","F","3","P29_pcr.v3",2023-11-14,"#4","","",NA,NA,NA,"n",NA
"CASENT9132858","C4","P29","C","4","P29_pcr.v3",2023-11-14,"#4","","",NA,NA,NA,"n",NA
"CASENT9131658","H7","P29","H","7","P29_pcr.v3",2023-11-14,"#4","","",NA,NA,NA,"n",NA
"CASENT9131874","B9","P29","B","9","P29_pcr.v3",2023-11-14,"#4","","",NA,NA,NA,"n",NA
"CASENT9131845","A1","P30","A","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132841","B1","P30","B","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","C1","P30","C","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","D1","P30","D","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131819","E1","P30","E","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132395","F1","P30","F","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132237","G1","P30","G","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131789","H1","P30","H","1","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132514","A2","P30","A","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132080","B2","P30","B","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132394","C2","P30","C","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132843","D2","P30","D","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131449","E2","P30","E","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","F2","P30","F","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131714","G2","P30","G","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131594","H2","P30","H","2","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131599","A3","P30","A","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131797","B3","P30","B","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","C3","P30","C","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131703","D3","P30","D","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131870","E3","P30","E","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131563","F3","P30","F","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131525","G3","P30","G","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132959","H3","P30","H","3","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","A4","P30","A","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131500","B4","P30","B","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131588","C4","P30","C","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131756","D4","P30","D","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","E4","P30","E","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","F4","P30","F","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","G4","P30","G","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","H4","P30","H","4","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132809","A5","P30","A","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132708","B5","P30","B","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131600","C5","P30","C","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","D5","P30","D","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132746","E5","P30","E","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132431","F5","P30","F","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132656","G5","P30","G","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132689","H5","P30","H","5","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","A6","P30","A","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","B6","P30","B","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131566","C6","P30","C","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132789","D6","P30","D","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131856","E6","P30","E","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","F6","P30","F","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","G6","P30","G","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9130103","H6","P30","H","6","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132489","A7","P30","A","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131664","B7","P30","B","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131521","C7","P30","C","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131719","D7","P30","D","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131459","E7","P30","E","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132814","F7","P30","F","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131919","G7","P30","G","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131603","H7","P30","H","7","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131854","A8","P30","A","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131537","B8","P30","B","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131868","C8","P30","C","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","D8","P30","D","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9130134","E8","P30","E","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131189","F8","P30","F","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131310","G8","P30","G","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131855","H8","P30","H","8","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132238","A9","P30","A","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131541","B9","P30","B","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131663","C9","P30","C","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9130732","D9","P30","D","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132662","E9","P30","E","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131598","F9","P30","F","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132411","G9","P30","G","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131672","H9","P30","H","9","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131773","A10","P30","A","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131967","B10","P30","B","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131285","C10","P30","C","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","D10","P30","D","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","E10","P30","E","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","F10","P30","F","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131543","G10","P30","G","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132563","H10","P30","H","10","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132160","A11","P30","A","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131894","B11","P30","B","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9132519","C11","P30","C","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131535","D11","P30","D","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","E11","P30","E","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","F11","P30","F","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131767","G11","P30","G","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131724","H11","P30","H","11","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131338","A12","P30","A","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","B12","P30","B","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131822","C12","P30","C","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131573","D12","P30","D","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","E12","P30","E","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"CASENT9131013","F12","P30","F","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","G12","P30","G","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"","H12","P30","H","12","P30_pcr.v2",2023-11-14,"#5","","Profile Mult Org","n","n","n",NA,"n"
"23T391","A1","CDFA_P4","A","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","y",NA,NA,NA
"23T470","B1","CDFA_P4","B","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","y",NA,NA,NA
"23T485","C1","CDFA_P4","C","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T506","D1","CDFA_P4","D","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T518","E1","CDFA_P4","E","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T530","F1","CDFA_P4","F","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T542","G1","CDFA_P4","G","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T563","H1","CDFA_P4","H","1","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T459","A2","CDFA_P4","A","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T471","B2","CDFA_P4","B","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T486","C2","CDFA_P4","C","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T507","D2","CDFA_P4","D","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T519","E2","CDFA_P4","E","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T531","F2","CDFA_P4","F","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T543","G2","CDFA_P4","G","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T573","H2","CDFA_P4","H","2","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T460","A3","CDFA_P4","A","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T472","B3","CDFA_P4","B","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T487","C3","CDFA_P4","C","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T508","D3","CDFA_P4","D","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T520","E3","CDFA_P4","E","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T532","F3","CDFA_P4","F","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T544","G3","CDFA_P4","G","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T574","H3","CDFA_P4","H","3","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","y",NA,NA,NA
"23T461","A4","CDFA_P4","A","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T473","B4","CDFA_P4","B","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T490","C4","CDFA_P4","C","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T509","D4","CDFA_P4","D","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T521","E4","CDFA_P4","E","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T533","F4","CDFA_P4","F","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T545","G4","CDFA_P4","G","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","y",NA,NA,NA
"23T575","H4","CDFA_P4","H","4","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","n","n",NA,NA,NA
"23T462","A5","CDFA_P4","A","5","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
"23T474","B5","CDFA_P4","B","5","CDFA_P4_pcr.v1",2023-12-04,"#3","y","potentially contaminated","y","n",NA,NA,NA
